ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
MAPKAPK2	protein	P49137	UNIPROT	LSP1	protein	P33241	UNIPROT	unknown	phosphorylation
CSNK1D	protein	P48730	UNIPROT	YAP1	protein	P46937	UNIPROT	down-regulates	phosphorylation
MAPK10	protein	P53779	UNIPROT	BCL2L11	protein	O43521	UNIPROT	down-regulates quantity by destabilization	phosphorylation
LRRK2	protein	Q5S007	UNIPROT	ARFGAP1	protein	Q8N6T3	UNIPROT	down-regulates	phosphorylation
SDHAF2	protein	Q9NX18	UNIPROT	SDHB	protein	P21912	UNIPROT	up-regulates	binding
NR0B2	protein	Q15466	UNIPROT	NR1H2	protein	P55055	UNIPROT	down-regulates quantity by repression	transcriptional regulation
NR0B2	protein	Q15466	UNIPROT	NR1H3	protein	Q13133	UNIPROT	down-regulates quantity by repression	transcriptional regulation
CDH1	protein	P12830	UNIPROT	LRP6	protein	O75581	UNIPROT	up-regulates	binding
NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	M1 polarization	phenotype	SIGNOR-PH54	SIGNOR	up-regulates	
FCGR2B	protein	P31994	UNIPROT	TLR4	protein	O00206	UNIPROT	down-regulates activity	
IL4R	protein	P24394	UNIPROT	JAK2	protein	O60674	UNIPROT	up-regulates activity	phosphorylation
JAK2	protein	O60674	UNIPROT	STAT6	protein	P42226	UNIPROT	up-regulates activity	phosphorylation
STAT6	protein	P42226	UNIPROT	KDM6B	protein	O15054	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT6	protein	P42226	UNIPROT	M2 polarization	phenotype	SIGNOR-PH55	SIGNOR	up-regulates	
STAT6	protein	P42226	UNIPROT	KLF4	protein	O43474	UNIPROT	up-regulates quantity by expression	transcriptional regulation
ASH2L	protein	Q9UBL3	UNIPROT	MLL/SET subcomplex	complex	SIGNOR-C87	SIGNOR	form complex	binding
7-Sep	protein	Q16181	UNIPROT	SEPT6/SEPT7	complex	SIGNOR-C72	SIGNOR	form complex	binding
SRC	protein	P12931	UNIPROT	AFAP1	protein	Q8N556	UNIPROT	unknown	phosphorylation
U2AF2	protein	P26368	UNIPROT	ZRSR2/U2AF2	complex	SIGNOR-C81	SIGNOR	form complex	binding
ZRSR2	protein	Q15696	UNIPROT	ZRSR2/U2AF2	complex	SIGNOR-C81	SIGNOR	form complex	binding
THRA	protein	P10827	UNIPROT	RARB	protein	P10826	UNIPROT	up-regulates	binding
2-Sep	protein	Q15019	UNIPROT	SEPT6/SEPT2	complex	SIGNOR-C71	SIGNOR	form complex	binding
6-Sep	protein	Q14141	UNIPROT	SEPT6/SEPT2	complex	SIGNOR-C71	SIGNOR	form complex	binding
6-Sep	protein	Q14141	UNIPROT	SEPT6/SEPT7	complex	SIGNOR-C72	SIGNOR	form complex	binding
LAMTOR1	protein	Q6IAA8	UNIPROT	LAMTOR	complex	SIGNOR-C26	SIGNOR	form complex	binding
LAMTOR2	protein	Q9Y2Q5	UNIPROT	LAMTOR	complex	SIGNOR-C26	SIGNOR	form complex	binding
LAMTOR3	protein	Q9UHA4	UNIPROT	LAMTOR	complex	SIGNOR-C26	SIGNOR	form complex	binding
LAMTOR4	protein	Q0VGL1	UNIPROT	LAMTOR	complex	SIGNOR-C26	SIGNOR	form complex	binding
LAMTOR5	protein	O43504	UNIPROT	LAMTOR	complex	SIGNOR-C26	SIGNOR	form complex	binding
DPY30	protein	Q9C005	UNIPROT	MLL/SET subcomplex	complex	SIGNOR-C87	SIGNOR	form complex	binding
RBBP5	protein	Q15291	UNIPROT	MLL/SET subcomplex	complex	SIGNOR-C87	SIGNOR	form complex	binding
WDR5	protein	P61964	UNIPROT	MLL/SET subcomplex	complex	SIGNOR-C87	SIGNOR	form complex	binding
PSEN1	protein	P49768	UNIPROT	g-secretase	complex	SIGNOR-C98	SIGNOR	form complex	binding
PSENEN	protein	Q9NZ42	UNIPROT	g-secretase	complex	SIGNOR-C98	SIGNOR	form complex	binding
TGFB2	protein	P61812	UNIPROT	TGFBR1	protein	P36897	UNIPROT	up-regulates	binding
LRRK2	protein	Q5S007	UNIPROT	ARFGAP1	protein	Q8N6T3	UNIPROT	down-regulates	phosphorylation
PARD6A	protein	Q9NPB6	UNIPROT	RAC1	protein	P63000	UNIPROT	up-regulates	
MAP2K3	protein	P46734	UNIPROT	MAPK12	protein	P53778	UNIPROT	up-regulates	phosphorylation
MBTPS1	protein	Q14703	UNIPROT	CREB3L2	protein	Q70SY1	UNIPROT	up-regulates	cleavage
SHC1	protein	P29353	UNIPROT	GRB2	protein	P62993	UNIPROT	up-regulates	binding
MAPK14	protein	Q16539	UNIPROT	DUSP1	protein	P28562	UNIPROT	up-regulates activity	binding
NOTCH1	protein	P46531	UNIPROT	NOTCH1	protein	P46531	UNIPROT	up-regulates quantity by expression	transcriptional regulation
POU3F2	protein	P20265	UNIPROT	MITF	protein	O75030	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SMARCB1	protein	Q12824	UNIPROT	CCNA2	protein	P20248	UNIPROT	down-regulates	
SMARCB1	protein	Q12824	UNIPROT	CDC6	protein	Q99741	UNIPROT	down-regulates	
SMARCB1	protein	Q12824	UNIPROT	E2F1	protein	Q01094	UNIPROT	down-regulates	
PIK3CA	protein	P42336	UNIPROT	AKT1	protein	P31749	UNIPROT	up-regulates activity	
SET	protein	Q01105	UNIPROT	NME1	protein	P15531	UNIPROT	down-regulates	binding
GSK3B	protein	P49841	UNIPROT	MAF	protein	O75444	UNIPROT	up-regulates	phosphorylation
MET	protein	P08581	UNIPROT	PTK2	protein	Q05397	UNIPROT	up-regulates	phosphorylation
HMGB1	protein	P09429	UNIPROT	HOXB1	protein	P14653	UNIPROT	up-regulates activity	binding
HRAS	protein	P01112	UNIPROT	PIK3CA	protein	P42336	UNIPROT	up-regulates	binding
HMGB1	protein	P09429	UNIPROT	HOXB3	protein	P14651	UNIPROT	up-regulates activity	binding
HMGB1	protein	P09429	UNIPROT	HOXC6	protein	P09630	UNIPROT	up-regulates activity	binding
HMGB1	protein	P09429	UNIPROT	HOXD3	protein	P31249	UNIPROT	up-regulates activity	binding
IL12B	protein	P29460	UNIPROT	IL12RB1	protein	P42701	UNIPROT	up-regulates	binding
PDGFRA	protein	P16234	UNIPROT	PLCG1	protein	P19174	UNIPROT	up-regulates	phosphorylation
HRAS	protein	P01112	UNIPROT	PIK3CA	protein	P42336	UNIPROT	up-regulates activity	binding
RING1	protein	Q06587	UNIPROT	FHL1	protein	Q13642	UNIPROT	up-regulates	binding
ZBTB14	protein	O43829	UNIPROT	ZBTB14	protein	O43829	UNIPROT	up-regulates activity	binding
RCOR1	protein	Q9UKL0	UNIPROT	REST	protein	Q13127	UNIPROT	up-regulates activity	binding
PDGFRB	protein	P09619	UNIPROT	PLCG1	protein	P19174	UNIPROT	up-regulates	phosphorylation
RCOR1	protein	Q9UKL0	UNIPROT	SCN2A	protein	Q99250	UNIPROT	down-regulates quantity by repression	transcriptional regulation
REST	protein	Q13127	UNIPROT	SCN2A	protein	Q99250	UNIPROT	down-regulates quantity by repression	transcriptional regulation
RALGDS	protein	Q12967	UNIPROT	RIT1	protein	Q92963	UNIPROT	up-regulates activity	binding
AFDN	protein	P55196	UNIPROT	RIT1	protein	Q92963	UNIPROT	up-regulates activity	binding
RLF	protein	Q13129	UNIPROT	RIN1	protein	Q13671	UNIPROT	up-regulates activity	binding
RALGDS	protein	Q12967	UNIPROT	RIN1	protein	Q13671	UNIPROT	up-regulates activity	binding
AFDN	protein	P55196	UNIPROT	RIN1	protein	Q13671	UNIPROT	up-regulates activity	binding
GABPB2	protein	Q8TAK5	UNIPROT	HCFC1	protein	P51610	UNIPROT	down-regulates activity	binding
GABPB1	protein	Q06547	UNIPROT	HCFC1	protein	P51610	UNIPROT	down-regulates activity	binding
IFNG	protein	P01579	UNIPROT	IFNGR2	protein	P38484	UNIPROT	up-regulates	binding
IGF1R	protein	P08069	UNIPROT	PIK3C2A	protein	O00443	UNIPROT	up-regulates	phosphorylation
GNAO1	protein	P09471	UNIPROT	TAOK1	protein	Q7L7X3	UNIPROT	up-regulates	
GNAO1	protein	P09471	UNIPROT	TAOK2	protein	Q9UL54	UNIPROT	up-regulates	
TLE1	protein	Q04724	UNIPROT	SIX6	protein	O95475	UNIPROT	up-regulates activity	binding
TLE1	protein	Q04724	UNIPROT	SIX3	protein	O95343	UNIPROT	up-regulates activity	binding
NUP214	protein	P35658	UNIPROT	SMAD3/SMAD4	complex	SIGNOR-C9	SIGNOR	up-regulates activity	relocalization
SMAD6	protein	O43541	UNIPROT	TAB1	protein	Q15750	UNIPROT	down-regulates	binding
INHBA	protein	P08476	UNIPROT	ACVR2A	protein	P27037	UNIPROT	up-regulates activity	binding
SMAD7	protein	O15105	UNIPROT	TAB1	protein	Q15750	UNIPROT	down-regulates	binding
ACVR1B	protein	P36896	UNIPROT	SMAD2	protein	Q15796	UNIPROT	up-regulates activity	phosphorylation
ACVR1B	protein	P36896	UNIPROT	SMAD3	protein	P84022	UNIPROT	up-regulates activity	phosphorylation
SMAD3	protein	P84022	UNIPROT	SMAD4	protein	Q13485	UNIPROT	up-regulates activity	binding
TTF2	protein	Q9UNY4	UNIPROT	CDC5L	protein	Q99459	UNIPROT	up-regulates quantity by stabilization	binding
CEBPE	protein	Q15744	UNIPROT	LTF	protein	P02788	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TAF4	protein	O00268	UNIPROT	ATF7	protein	P17544	UNIPROT	down-regulates activity	binding
TLRs	proteinfamily	SIGNOR-PF20	SIGNOR	TIRAP	protein	P58753	UNIPROT	up-regulates activity	binding
TLRs	proteinfamily	SIGNOR-PF20	SIGNOR	TICAM2	protein	Q86XR7	UNIPROT	up-regulates activity	binding
PCGF2	protein	P35227	UNIPROT	HSF2	protein	Q03933	UNIPROT	down-regulates activity	sumoylation
DRAP1	protein	Q14919	UNIPROT	NC2 complex	complex	SIGNOR-C108	SIGNOR	form complex	binding
DR1	protein	Q01658	UNIPROT	NC2 complex	complex	SIGNOR-C108	SIGNOR	form complex	binding
NACC1	protein	Q96RE7	UNIPROT	ZBTB14	protein	O43829	UNIPROT	up-regulates activity	binding
ABL1	protein	P00519	UNIPROT	EPHB2	protein	P29323	UNIPROT	down-regulates	phosphorylation
F2	protein	P00734	UNIPROT	LRP1	protein	Q07954	UNIPROT	up-regulates	binding
SERPINA1	protein	P01009	UNIPROT	LRP1	protein	Q07954	UNIPROT	up-regulates	binding
SERPINC1	protein	P01008	UNIPROT	LRP1	protein	Q07954	UNIPROT	up-regulates	binding
PAK1	protein	Q13153	UNIPROT	WEE1	protein	P30291	UNIPROT	down-regulates	phosphorylation
DACT2	protein	Q5SW24	UNIPROT	TGFBR1	protein	P36897	UNIPROT	down-regulates	binding
NEDD4L	protein	Q96PU5	UNIPROT	SMAD3	protein	P84022	UNIPROT	down-regulates activity	ubiquitination
UV stress	stimulus	SIGNOR-ST7	SIGNOR	MAP3K4	protein	Q9Y6R4	UNIPROT	up-regulates	
"1,9-Pyrazoloanthrone"	chemical	CID:8515	PUBCHEM	FLT3	protein	P36888	UNIPROT	down-regulates	chemical inhibition
BMP7	protein	P18075	UNIPROT	BMPR1A/1B/2	complex	SIGNOR-C29	SIGNOR	up-regulates activity	binding
RASA1	protein	P20936	UNIPROT	HRAS	protein	P01112	UNIPROT	down-regulates	binding
INSR	protein	P06213	UNIPROT	IRS4	protein	O14654	UNIPROT	up-regulates activity	phosphorylation
DUSP9	protein	Q99956	UNIPROT	MAPK1	protein	P28482	UNIPROT	down-regulates	dephosphorylation
14-3-3	proteinfamily	SIGNOR-PF7	SIGNOR	FOXO3	protein	O43524	UNIPROT	down-regulates	binding
RBPJ/NOTCH	complex	SIGNOR-C97	SIGNOR	CCND1	protein	P24385	UNIPROT	up-regulates quantity by expression	transcriptional regulation
GABARAPL1	protein	Q9H0R8	UNIPROT	SQSTM1	protein	Q13501	UNIPROT	up-regulates activity	binding
GABARAPL2	protein	P60520	UNIPROT	SQSTM1	protein	Q13501	UNIPROT	up-regulates activity	binding
AKT2	protein	P31751	UNIPROT	MAPK14	protein	Q16539	UNIPROT	down-regulates activity	
NEDD4L	protein	Q96PU5	UNIPROT	SMAD2	protein	Q15796	UNIPROT	down-regulates activity	ubiquitination
PCSK7	protein	Q16549	UNIPROT	NFKBIA	protein	P25963	UNIPROT	down-regulates	
RANBP3	protein	Q9H6Z4	UNIPROT	SMAD2	protein	Q15796	UNIPROT	down-regulates activity	relocalization
GSK3B	protein	P49841	UNIPROT	MAFA	protein	Q8NHW3	UNIPROT	up-regulates	phosphorylation
AKT2	protein	P31751	UNIPROT	TSC1/TSC2	complex	SIGNOR-C101	SIGNOR	down-regulates activity	phosphorylation
PPP2R5C	protein	Q13362	UNIPROT	RPS6KB1	protein	P23443	UNIPROT	down-regulates	binding
IL4R	protein	P24394	UNIPROT	IL2RG	protein	P31785	UNIPROT	up-regulates	binding
GSK3B	protein	P49841	UNIPROT	MAFA	protein	Q8NHW3	UNIPROT	up-regulates	phosphorylation
TBK1	protein	Q9UHD2	UNIPROT	IRF3	protein	Q14653	UNIPROT	up-regulates activity	phosphorylation
TBK1	protein	Q9UHD2	UNIPROT	IRF3	protein	Q14653	UNIPROT	up-regulates activity	phosphorylation
MAPK3	protein	P27361	UNIPROT	PCYT1A	protein	P49585	UNIPROT	down-regulates	phosphorylation
WWTR1	protein	Q9GZV5	UNIPROT	TTF1	protein	Q15361	UNIPROT	up-regulates	binding
WWTR1	protein	Q9GZV5	UNIPROT	PAX8	protein	Q06710	UNIPROT	up-regulates	binding
PKN1	protein	Q16512	UNIPROT	SNAI1	protein	O95863	UNIPROT	up-regulates	phosphorylation
CDKN2B	protein	P42772	UNIPROT	CDK4	protein	P11802	UNIPROT	down-regulates	binding
ERBB2	protein	P04626	UNIPROT	ESR1	protein	P03372	UNIPROT	up-regulates	phosphorylation
DOK4	protein	Q8TEW6	UNIPROT	CRK	protein	P46108	UNIPROT	up-regulates	binding
DOK4	protein	Q8TEW6	UNIPROT	FYN	protein	P06241	UNIPROT	up-regulates	binding
DOK4	protein	Q8TEW6	UNIPROT	SRC	protein	P12931	UNIPROT	up-regulates	binding
IL10	protein	P22301	UNIPROT	IL10RA	protein	Q13651	UNIPROT	up-regulates	binding
SNX9	protein	Q9Y5X1	UNIPROT	DNM1	protein	Q05193	UNIPROT	up-regulates	binding
IL15	protein	P40933	UNIPROT	IL15RA	protein	Q13261	UNIPROT	up-regulates	binding
IL15RA	protein	Q13261	UNIPROT	IL2RB	protein	P14784	UNIPROT	up-regulates	binding
