ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
SDHB	protein	P21912	UNIPROT	SDHA/SDHB	complex	SIGNOR-C69	SIGNOR	form complex	binding
PPM1A	protein	P35813	UNIPROT	CDK9	protein	P50750	UNIPROT	unknown	dephosphorylation
SDHC	protein	Q99643	UNIPROT	SDHC/SDHD	complex	SIGNOR-C70	SIGNOR	form complex	binding
SDHD	protein	O14521	UNIPROT	SDHC/SDHD	complex	SIGNOR-C70	SIGNOR	form complex	binding
WNT6	protein	Q9Y6F9	UNIPROT	CTNNB1	protein	P35222	UNIPROT	up-regulates	
SMAD3	protein	P84022	UNIPROT	CDKN2B	protein	P42772	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CDK12	protein	Q9NYV4	UNIPROT	CDK12/CCNK	complex	SIGNOR-C37	SIGNOR	form complex	binding
IKBKB	protein	O14920	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	form complex	binding
ARID1A	protein	O14497	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SMARCA4	protein	P51532	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SUZ12	protein	Q15022	UNIPROT	SUZ12/EZH2	complex	SIGNOR-C77	SIGNOR	form complex	binding
RBX1	protein	P62877	UNIPROT	DCX DET1-COP1	complex	SIGNOR-C24	SIGNOR	form complex	binding
SMARCC1	protein	Q92922	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SMARCC2	protein	Q8TAQ2	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SMARCD1	protein	Q96GM5	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CSNK1D	protein	P48730	UNIPROT	MDM2	protein	Q00987	UNIPROT	down-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	ADD1	protein	P35611	UNIPROT	down-regulates activity	phosphorylation
SMARCE1	protein	Q969G3	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
PRKAB2	protein	O43741	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	form complex	binding
TGFB1	protein	P01137	UNIPROT	CDKN2B	protein	P42772	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CSNK1D	protein	P48730	UNIPROT	MDM2	protein	Q00987	UNIPROT	down-regulates	phosphorylation
PRKAG2	protein	Q9UGJ0	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	form complex	binding
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
PICALM	protein	Q13492	UNIPROT	CLTCL1	protein	P53675	UNIPROT	up-regulates	binding
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
GMPS	protein	P49915	UNIPROT	TP53	protein	P04637	UNIPROT	up-regulates	binding
PRKAG3	protein	Q9UGI9	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	form complex	binding
TARBP2	protein	Q15633	UNIPROT	RISC(DICER1/AGO2/TARBP2)	complex	SIGNOR-C32	SIGNOR	form complex	binding
ERCC4	protein	Q92889	UNIPROT	ERCC4/ERCC1	complex	SIGNOR-C50	SIGNOR	form complex	binding
KHSRP	protein	Q92945	UNIPROT	DVL3	protein	Q92997	UNIPROT	down-regulates	binding
CSNK2A1	protein	P68400	UNIPROT	TCF7L2	protein	Q9NQB0	UNIPROT	up-regulates activity	phosphorylation
PRKCA	protein	P17252	UNIPROT	INSR	protein	P06213	UNIPROT	unknown	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	TCF7L2	protein	Q9NQB0	UNIPROT	up-regulates activity	phosphorylation
GSK3B	protein	P49841	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
HCK	protein	P08631	UNIPROT	RAPGEF1	protein	Q13905	UNIPROT	up-regulates	phosphorylation
AURKB	protein	Q96GD4	UNIPROT	PLEKHG6	protein	Q3KR16	UNIPROT	up-regulates	phosphorylation
PP2B	proteinfamily	SIGNOR-PF18	SIGNOR	MAPT	protein	P10636	UNIPROT	up-regulates	dephosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CSNK2A2	protein	P19784	UNIPROT	AQP4	protein	P55087	UNIPROT	down-regulates activity	phosphorylation
IL6ST	protein	P40189	UNIPROT	JAK1	protein	P23458	UNIPROT	up-regulates	binding
CSNK2A2	protein	P19784	UNIPROT	ACACA	protein	Q13085	UNIPROT	unknown	phosphorylation
ASH2L	protein	Q9UBL3	UNIPROT	HMT	complex	SIGNOR-C19	SIGNOR	form complex	binding
PPM1L	protein	Q5SGD2	UNIPROT	MAP3K5	protein	Q99683	UNIPROT	down-regulates	dephosphorylation
CSNK2A1	protein	P68400	UNIPROT	VTN	protein	P04004	UNIPROT	up-regulates activity	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	VTN	protein	P04004	UNIPROT	up-regulates activity	phosphorylation
PLK1	protein	P53350	UNIPROT	BRCA2	protein	P51587	UNIPROT	unknown	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	TOP2A	protein	P11388	UNIPROT	unknown	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	TSPY1	protein	Q01534	UNIPROT	up-regulates activity	phosphorylation
CSNK2A2	protein	P19784	UNIPROT	AQP4	protein	P55087	UNIPROT	down-regulates activity	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	XRCC1	protein	P18887	UNIPROT	up-regulates activity	phosphorylation
CAMK2G	protein	Q13555	UNIPROT	SYN1	protein	P17600	UNIPROT	unknown	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	TP53	protein	P04637	UNIPROT	up-regulates activity	phosphorylation
MAP2K6	protein	P52564	UNIPROT	MAPK12	protein	P53778	UNIPROT	up-regulates	phosphorylation
ATG13	protein	O75143	UNIPROT	ULK2	protein	Q8IYT8	UNIPROT	up-regulates	binding
CSNK2A1	protein	P68400	UNIPROT	MDC1	protein	Q14676	UNIPROT	up-regulates	phosphorylation
MDC1	protein	Q14676	UNIPROT	NBN	protein	O60934	UNIPROT	up-regulates	binding
MDM4	protein	O15151	UNIPROT	MDM2	protein	Q00987	UNIPROT	up-regulates	stabilization
KMT2D	protein	O14686	UNIPROT	HMT	complex	SIGNOR-C19	SIGNOR	form complex	binding
WDR5	protein	P61964	UNIPROT	HMT	complex	SIGNOR-C19	SIGNOR	form complex	binding
LIF	protein	P15018	UNIPROT	LIFR	protein	P42702	UNIPROT	up-regulates	binding
CREBBP	protein	Q92793	UNIPROT	P300/PCAF	complex	SIGNOR-C7	SIGNOR	form complex	binding
EEF1A1	protein	P68104	UNIPROT	mTORC2	complex	SIGNOR-C2	SIGNOR	form complex	binding
CCNA2	protein	P20248	UNIPROT	CyclinA2/CDK2	complex	SIGNOR-C83	SIGNOR	form complex	binding
PDGFRA	protein	P16234	UNIPROT	PDGFRA	protein	P16234	UNIPROT	up-regulates activity	phosphorylation
PPP2CA	protein	P67775	UNIPROT	MAPK1	protein	P28482	UNIPROT	down-regulates	dephosphorylation
MAPK1	protein	P28482	UNIPROT	STIM1	protein	Q13586	UNIPROT	up-regulates	phosphorylation
PRKG1	protein	Q13976	UNIPROT	TRPC3	protein	Q13507	UNIPROT	down-regulates	phosphorylation
BTK	protein	Q06187	UNIPROT	PLCG2	protein	P16885	UNIPROT	up-regulates activity	phosphorylation
BTK	protein	Q06187	UNIPROT	PLCG2	protein	P16885	UNIPROT	up-regulates activity	phosphorylation
MAP2K6	protein	P52564	UNIPROT	MAPK12	protein	P53778	UNIPROT	up-regulates	phosphorylation
HDAC1	protein	Q13547	UNIPROT	SMAD7/HDAC1/E2F-1	complex	SIGNOR-C12	SIGNOR	form complex	binding
SMAD7	protein	O15105	UNIPROT	SMAD7/HDAC1/E2F-1	complex	SIGNOR-C12	SIGNOR	form complex	binding
ABL2	protein	P42684	UNIPROT	ABL2	protein	P42684	UNIPROT	up-regulates	phosphorylation
S1PR2	protein	O95136	UNIPROT	GNAQ	protein	P50148	UNIPROT	up-regulates	binding
MPP5	protein	Q8N3R9	UNIPROT	AMOT/MPP5/INADL/LIN7C	complex	SIGNOR-C27	SIGNOR	form complex	binding
MLL/SET subcomplex	complex	SIGNOR-C87	SIGNOR	MLL2 complex	complex	SIGNOR-C88	SIGNOR	form complex	binding
CDK1	protein	P06493	UNIPROT	CyclinB/CDK1	complex	SIGNOR-C17	SIGNOR	form complex	binding
AKT1S1	protein	Q96B36	UNIPROT	mTORC1	complex	SIGNOR-C3	SIGNOR	form complex	binding
DEPTOR	protein	Q8TB45	UNIPROT	mTORC1	complex	SIGNOR-C3	SIGNOR	form complex	binding
DEPTOR	protein	Q8TB45	UNIPROT	mTORC2	complex	SIGNOR-C2	SIGNOR	form complex	binding
JAK2	protein	O60674	UNIPROT	CSF2RA	protein	P15509	UNIPROT	up-regulates activity	phosphorylation
PRKACA	protein	P17612	UNIPROT	ADD2	protein	P35612	UNIPROT	down-regulates activity	phosphorylation
LIFR	protein	P42702	UNIPROT	IL6ST	protein	P40189	UNIPROT	up-regulates	binding
MLST8	protein	Q9BVC4	UNIPROT	mTORC1	complex	SIGNOR-C3	SIGNOR	form complex	binding
PRKACA	protein	P17612	UNIPROT	NOXA1	protein	Q86UR1	UNIPROT	down-regulates	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	IGF2R	protein	P11717	UNIPROT	unknown	phosphorylation
ABL1	protein	P00519	UNIPROT	ABL2	protein	P42684	UNIPROT	up-regulates	phosphorylation
MLST8	protein	Q9BVC4	UNIPROT	mTORC2	complex	SIGNOR-C2	SIGNOR	form complex	binding
PRR5	protein	P85299	UNIPROT	mTORC2	complex	SIGNOR-C2	SIGNOR	form complex	binding
RICTOR	protein	Q6R327	UNIPROT	mTORC2	complex	SIGNOR-C2	SIGNOR	form complex	binding
CSNK2A1	protein	P68400	UNIPROT	IGF2R	protein	P11717	UNIPROT	unknown	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	LEF1	protein	Q9UJU2	UNIPROT	up-regulates	phosphorylation
KMT2A	protein	Q03164	UNIPROT	MLL1 complex	complex	SIGNOR-C89	SIGNOR	form complex	binding
RPTOR	protein	Q8N122	UNIPROT	mTORC1	complex	SIGNOR-C3	SIGNOR	form complex	binding
CDX2	protein	Q99626	UNIPROT	CDX2/PAX6/P300	complex	SIGNOR-C33	SIGNOR	form complex	binding
SLX4	protein	Q8IY92	UNIPROT	ERCC4	protein	Q92889	UNIPROT	up-regulates	binding
PTH2	protein	Q96A98	UNIPROT	PTH2R	protein	P49190	UNIPROT	up-regulates	binding
BAX	protein	Q07812	UNIPROT	BAK/BAX	complex	SIGNOR-C96	SIGNOR	form complex	binding
BAK1	protein	Q16611	UNIPROT	BAK/BAX	complex	SIGNOR-C96	SIGNOR	form complex	binding
AURKA	protein	O14965	UNIPROT	AURKA	protein	O14965	UNIPROT	up-regulates	phosphorylation
PDGFRA	protein	P16234	UNIPROT	CRK	protein	P46108	UNIPROT	up-regulates	binding
SRC	protein	P12931	UNIPROT	ENO1	protein	P06733	UNIPROT	up-regulates	phosphorylation
PAK1	protein	Q13153	UNIPROT	AURKA	protein	O14965	UNIPROT	up-regulates	phosphorylation
CAMK2A	protein	Q9UQM7	UNIPROT	GABBR1	protein	Q9UBS5	UNIPROT	down-regulates	phosphorylation
ATM	protein	Q13315	UNIPROT	HNF1A	protein	P20823	UNIPROT	up-regulates	phosphorylation
MAPK14	protein	Q16539	UNIPROT	GATA2	protein	P23769	UNIPROT	up-regulates	phosphorylation
NBN	protein	O60934	UNIPROT	ATM	protein	Q13315	UNIPROT	up-regulates	binding
PDGFRB	protein	P09619	UNIPROT	PDGFRB	protein	P09619	UNIPROT	unknown	phosphorylation
TAB1	protein	Q15750	UNIPROT	JNK	proteinfamily	SIGNOR-PF15	SIGNOR	up-regulates	binding
YWHAB	protein	P31946	UNIPROT	SRPK2	protein	P78362	UNIPROT	down-regulates	binding
TAB2	protein	Q9NYJ8	UNIPROT	JNK	proteinfamily	SIGNOR-PF15	SIGNOR	up-regulates	binding
TAB2	protein	Q9NYJ8	UNIPROT	p38	proteinfamily	SIGNOR-PF16	SIGNOR	up-regulates	binding
TAB3	protein	Q8N5C8	UNIPROT	JNK	proteinfamily	SIGNOR-PF15	SIGNOR	up-regulates	binding
TAB3	protein	Q8N5C8	UNIPROT	p38	proteinfamily	SIGNOR-PF16	SIGNOR	up-regulates	binding
HMGA2	protein	P52926	UNIPROT	Apoptosis	phenotype	SIGNOR-PH2	SIGNOR	up-regulates	
RPL11	protein	P62913	UNIPROT	TP73	protein	O15350	UNIPROT	up-regulates	binding
RPL5	protein	P46777	UNIPROT	TP73	protein	O15350	UNIPROT	up-regulates	binding
LRRK2	protein	Q5S007	UNIPROT	SNAPIN	protein	O95295	UNIPROT	down-regulates	phosphorylation
PRKCG	protein	P05129	UNIPROT	ARHGEF7	protein	Q14155	UNIPROT	up-regulates	phosphorylation
p38	proteinfamily	SIGNOR-PF16	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	HLA-A	protein	P30443	UNIPROT	unknown	phosphorylation
ATM	protein	Q13315	UNIPROT	RAD17	protein	O75943	UNIPROT	unknown	phosphorylation
PRKACA	protein	P17612	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	ADD1	protein	P35611	UNIPROT	down-regulates activity	phosphorylation
PTK2	protein	Q05397	UNIPROT	PXN	protein	P49023	UNIPROT	unknown	phosphorylation
MAP3K11	protein	Q16584	UNIPROT	PIN1	protein	Q13526	UNIPROT	up-regulates	phosphorylation
AREG	protein	P15514	UNIPROT	ERBB2	protein	P04626	UNIPROT	up-regulates	phosphorylation
GNA12	protein	Q03113	UNIPROT	RHOA	protein	P61586	UNIPROT	up-regulates	binding
TAOK3	protein	Q9H2K8	UNIPROT	STK4	protein	Q13043	UNIPROT	up-regulates	phosphorylation
TLR4	protein	O00206	UNIPROT	TICAM2	protein	Q86XR7	UNIPROT	up-regulates	binding
PRKCA	protein	P17252	UNIPROT	HSPB8	protein	Q9UJY1	UNIPROT	up-regulates	phosphorylation
MAP3K7	protein	O43318	UNIPROT	PTPN3	protein	P26045	UNIPROT	unknown	phosphorylation
MAPK14	protein	Q16539	UNIPROT	CDKN1C	protein	P49918	UNIPROT	up-regulates	phosphorylation
NFIL3	protein	Q16649	UNIPROT	SOSTDC1	protein	Q6X4U4	UNIPROT	down-regulates quantity by repression	transcriptional regulation
PRKAA1	protein	Q13131	UNIPROT	RB1	protein	P06400	UNIPROT	down-regulates	phosphorylation
PTK2	protein	Q05397	UNIPROT	PXN	protein	P49023	UNIPROT	unknown	phosphorylation
PRKCA	protein	P17252	UNIPROT	CDKN2D	protein	P55273	UNIPROT	up-regulates	phosphorylation
MAPK1	protein	P28482	UNIPROT	JUND	protein	P17535	UNIPROT	up-regulates	phosphorylation
PPP1CA	protein	P62136	UNIPROT	PFN1	protein	P07737	UNIPROT	up-regulates	dephosphorylation
EIF2AK2	protein	P19525	UNIPROT	NFKBIA	protein	P25963	UNIPROT	down-regulates quantity by destabilization	phosphorylation
FLT4	protein	P35916	UNIPROT	SHC1	protein	P29353	UNIPROT	unknown	phosphorylation
PAK4	protein	O96013	UNIPROT	CTNNB1	protein	P35222	UNIPROT	up-regulates	phosphorylation
TBK1	protein	Q9UHD2	UNIPROT	IRF5	protein	Q13568	UNIPROT	up-regulates	phosphorylation
CSNK1E	protein	P49674	UNIPROT	DVL2	protein	O14641	UNIPROT	up-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	VASP	protein	P50552	UNIPROT	up-regulates activity	phosphorylation
CTNND1	protein	O60716	UNIPROT	RAC1	protein	P63000	UNIPROT	up-regulates	binding
RASGEF1C	protein	Q8N431	UNIPROT	NRAS	protein	P01111	UNIPROT	up-regulates	binding
IRF4	protein	Q15306	UNIPROT	M2 polarization	phenotype	SIGNOR-PH55	SIGNOR	up-regulates	
BTC	protein	P35070	UNIPROT	EGFR	protein	P00533	UNIPROT	up-regulates	binding
EFNB3	protein	Q15768	UNIPROT	EPHB3	protein	P54753	UNIPROT	up-regulates	binding
PRKACA	protein	P17612	UNIPROT	PHKA1	protein	P46020	UNIPROT	up-regulates activity	phosphorylation
BIRC3	protein	Q13489	UNIPROT	CASP9	protein	P55211	UNIPROT	down-regulates	binding
PLK1	protein	P53350	UNIPROT	BUB1B	protein	O60566	UNIPROT	up-regulates	phosphorylation
ZAP70	protein	P43403	UNIPROT	MUC1	protein	P15941	UNIPROT	up-regulates activity	phosphorylation
UHMK1	protein	Q8TAS1	UNIPROT	SF1	protein	Q15637	UNIPROT	up-regulates	phosphorylation
WNK1	protein	Q9H4A3	UNIPROT	SLC12A6	protein	Q9UHW9	UNIPROT	down-regulates	phosphorylation
RPS6KB1	protein	P23443	UNIPROT	CAD	protein	P27708	UNIPROT	up-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	DYNLRB1	protein	Q9NP97	UNIPROT	up-regulates	phosphorylation
WWTR1	protein	Q9GZV5	UNIPROT	TEAD2	protein	Q15562	UNIPROT	up-regulates	binding
YAP1	protein	P46937	UNIPROT	TEAD1	protein	P28347	UNIPROT	up-regulates	binding
PTPN11	protein	Q06124	UNIPROT	CSF2RB	protein	P32927	UNIPROT	up-regulates	dephosphorylation
ROCK1	protein	Q13464	UNIPROT	PTEN	protein	P60484	UNIPROT	up-regulates	phosphorylation
CSNK2A2	protein	P19784	UNIPROT	EIF2B5	protein	Q13144	UNIPROT	up-regulates activity	phosphorylation
NEK2	protein	P51955	UNIPROT	CEP250	protein	Q9BV73	UNIPROT	down-regulates	phosphorylation
CSNK2A2	protein	P19784	UNIPROT	EIF2B5	protein	Q13144	UNIPROT	up-regulates activity	phosphorylation
PRKD1	protein	Q15139	UNIPROT	ARFIP1	protein	P53367	UNIPROT	up-regulates	phosphorylation
PRKCA	protein	P17252	UNIPROT	CLIP1	protein	P30622	UNIPROT	down-regulates	phosphorylation
ATM	protein	Q13315	UNIPROT	TP53BP1	protein	Q12888	UNIPROT	unknown	phosphorylation
GRK5	protein	P34947	UNIPROT	ADRB2	protein	P07550	UNIPROT	unknown	phosphorylation
AKT1	protein	P31749	UNIPROT	CDKN1A	protein	P38936	UNIPROT	down-regulates activity	phosphorylation
CSNK2A2	protein	P19784	UNIPROT	GTF2A1L	protein	Q9UNN4	UNIPROT	up-regulates activity	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
PRKCG	protein	P05129	UNIPROT	ARHGEF7	protein	Q14155	UNIPROT	up-regulates	phosphorylation
MAPK1	protein	P28482	UNIPROT	MAPKAPK2	protein	P49137	UNIPROT	up-regulates	phosphorylation
SERPINE1	protein	P05121	UNIPROT	Cell Adhesion	phenotype	SIGNOR-PH7	SIGNOR	up-regulates	
TLR4	protein	O00206	UNIPROT	Immune Response	phenotype	SIGNOR-PH17	SIGNOR	up-regulates	
TBK1	protein	Q9UHD2	UNIPROT	IKBKB	protein	O14920	UNIPROT	up-regulates	binding
TLR4	protein	O00206	UNIPROT	Interferon Production	phenotype	SIGNOR-PH16	SIGNOR	up-regulates	
NLK	protein	Q9UBE8	UNIPROT	NOTCH1	protein	P46531	UNIPROT	down-regulates	phosphorylation
ATM	protein	Q13315	UNIPROT	MDC1	protein	Q14676	UNIPROT	up-regulates	phosphorylation
ATM	protein	Q13315	UNIPROT	TP53BP1	protein	Q12888	UNIPROT	unknown	phosphorylation
MAPK1	protein	P28482	UNIPROT	MAPKAPK2	protein	P49137	UNIPROT	up-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	VASP	protein	P50552	UNIPROT	unknown	phosphorylation
PPP2CB	protein	P62714	UNIPROT	MDM2	protein	Q00987	UNIPROT	up-regulates	dephosphorylation
MAP2K1	protein	Q02750	UNIPROT	PPARG	protein	P37231	UNIPROT	down-regulates activity	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
MAPK1	protein	P28482	UNIPROT	MAPKAPK2	protein	P49137	UNIPROT	up-regulates	phosphorylation
PTPRF	protein	P10586	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
H2AFX	protein	P16104	UNIPROT	MDC1	protein	Q14676	UNIPROT	up-regulates	binding
RAD50	protein	Q92878	UNIPROT	MRE11	protein	P49959	UNIPROT	up-regulates	binding
APAF1	protein	O14727	UNIPROT	CASP9	protein	P55211	UNIPROT	up-regulates	binding
PTPRJ	protein	Q12913	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
SRPK2	protein	P78362	UNIPROT	CCND1	protein	P24385	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CDK4	protein	P11802	UNIPROT	SMAD3	protein	P84022	UNIPROT	down-regulates activity	phosphorylation
CDK4	protein	P11802	UNIPROT	SMAD3	protein	P84022	UNIPROT	down-regulates activity	phosphorylation
MAPK1	protein	P28482	UNIPROT	MED1	protein	Q15648	UNIPROT	up-regulates	phosphorylation
STK11	protein	Q15831	UNIPROT	MELK	protein	Q14680	UNIPROT	up-regulates	phosphorylation
MAPK1	protein	P28482	UNIPROT	SORBS3	protein	O60504	UNIPROT	unknown	phosphorylation
CDK2	protein	P24941	UNIPROT	SMAD3	protein	P84022	UNIPROT	down-regulates activity	phosphorylation
PTPRF	protein	P10586	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
PTPRF	protein	P10586	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
PRKAA2	protein	P54646	UNIPROT	TSC2	protein	P49815	UNIPROT	up-regulates	phosphorylation
MAPK1	protein	P28482	UNIPROT	PPP1R9B	protein	Q96SB3	UNIPROT	unknown	phosphorylation
RASGEF1C	protein	Q8N431	UNIPROT	HRAS	protein	P01112	UNIPROT	up-regulates	binding
MAPK14	protein	Q16539	UNIPROT	BAZ1B	protein	Q9UIG0	UNIPROT	up-regulates	phosphorylation
RXRB	protein	P28702	UNIPROT	RARB	protein	P10826	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CTNNB1	protein	P35222	UNIPROT	MYC	protein	P01106	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CAMK2A	protein	Q9UQM7	UNIPROT	CAMK2A	protein	Q9UQM7	UNIPROT	down-regulates	phosphorylation
EGFR	protein	P00533	UNIPROT	EPB41	protein	P11171	UNIPROT	down-regulates	phosphorylation
CAMK2A	protein	Q9UQM7	UNIPROT	CAMK2A	protein	Q9UQM7	UNIPROT	down-regulates	phosphorylation
CDK1	protein	P06493	UNIPROT	CSNK2A1	protein	P68400	UNIPROT	up-regulates	phosphorylation
GSK3B	protein	P49841	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	JUN	protein	P05412	UNIPROT	down-regulates	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	JUN	protein	P05412	UNIPROT	down-regulates	phosphorylation
RPS6KA1	protein	Q15418	UNIPROT	CCT2	protein	P78371	UNIPROT	up-regulates	phosphorylation
CAMK2A	protein	Q9UQM7	UNIPROT	CAMK2A	protein	Q9UQM7	UNIPROT	down-regulates	phosphorylation
GSK3B	protein	P49841	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
EGFR	protein	P00533	UNIPROT	RASA1	protein	P20936	UNIPROT	unknown	phosphorylation
SEMA3A	protein	Q14563	UNIPROT	PLXNA2	protein	O75051	UNIPROT	up-regulates	binding
CDK2	protein	P24941	UNIPROT	PGR	protein	P06401	UNIPROT	unknown	phosphorylation
CDK2	protein	P24941	UNIPROT	PGR	protein	P06401	UNIPROT	unknown	phosphorylation
PAK1	protein	Q13153	UNIPROT	BAD	protein	Q92934	UNIPROT	down-regulates	phosphorylation
PDGFRB	protein	P09619	UNIPROT	PDGFRB	protein	P09619	UNIPROT	unknown	phosphorylation
PTPRJ	protein	Q12913	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
PTPRJ	protein	Q12913	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
FLT4	protein	P35916	UNIPROT	SHC1	protein	P29353	UNIPROT	unknown	phosphorylation
SRC	protein	P12931	UNIPROT	CTTN	protein	Q14247	UNIPROT	down-regulates activity	phosphorylation
CDK1	protein	P06493	UNIPROT	RRM2	protein	P31350	UNIPROT	unknown	phosphorylation
DYRK2	protein	Q92630	UNIPROT	SIAH2	protein	O43255	UNIPROT	up-regulates	phosphorylation
DYRK2	protein	Q92630	UNIPROT	SIAH2	protein	O43255	UNIPROT	up-regulates	phosphorylation
CHUK	protein	O15111	UNIPROT	CREBBP	protein	Q92793	UNIPROT	up-regulates	phosphorylation
PTPRJ	protein	Q12913	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
TGFBR2	protein	P37173	UNIPROT	PARD6A	protein	Q9NPB6	UNIPROT	up-regulates	phosphorylation
PRKCI	protein	P41743	UNIPROT	ECT2	protein	Q9H8V3	UNIPROT	up-regulates	phosphorylation
DAPK1	protein	P53355	UNIPROT	CAMKK2	protein	Q96RR4	UNIPROT	unknown	phosphorylation
PINK1	protein	Q9BXM7	UNIPROT	PRKN	protein	O60260	UNIPROT	up-regulates	phosphorylation
UHMK1	protein	Q8TAS1	UNIPROT	SYN1	protein	P17600	UNIPROT	unknown	phosphorylation
CDK1	protein	P06493	UNIPROT	RB1	protein	P06400	UNIPROT	down-regulates	phosphorylation
DYRK2	protein	Q92630	UNIPROT	SIAH2	protein	O43255	UNIPROT	up-regulates	phosphorylation
CDK2	protein	P24941	UNIPROT	PGR	protein	P06401	UNIPROT	unknown	phosphorylation
MEN1	protein	O00255	UNIPROT	TERT	protein	O14746	UNIPROT	down-regulates	
WNT10B	protein	O00744	UNIPROT	FZD1	protein	Q9UP38	UNIPROT	up-regulates	binding
NTF4	protein	P34130	UNIPROT	NTRK2	protein	Q16620	UNIPROT	up-regulates	binding
